2025-08-21 04:06:43.788 [warning] Dir "/home/shaiksahil0911/.pixi/envs" is not watchable (directory does not exist)
2025-08-21 06:34:43.704 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 06:41:52.350 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 06:50:14.775 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:50:17.177 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 06:50:54.236 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 06:50:59.814 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 06:55:45.511 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 07:06:59.872 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:13:44.455 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:14:55.219 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:15:58.615 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:16:26.226 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:17:54.512 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:19:17.591 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:19.525 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:24.614 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:29.330 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:40.315 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:41.551 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:20:54.385 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:28:17.263 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:28:33.201 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:28:41.924 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:28:48.721 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:34:33.513 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:34:36.955 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:34:45.296 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:34:49.462 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:35:33.407 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:44:19.720 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:44:27.705 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:44:33.229 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:47:06.704 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:47:07.645 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/ml_service.py
2025-08-21 07:47:14.310 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 07:47:20.055 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/views.py
2025-08-21 08:05:50.339 [info] Discover tests for workspace name: shaiksahil0911 - uri: /home/shaiksahil0911/pathpilot/app/models.py
2025-08-21 08:06:19.686 [info] Discover tests for workspace name: undefined - uri: /User/settings.json
2025-08-21 08:19:25.616 [info] Discover tests for workspace name: undefined - uri: /User/settings.json
